Academic,Subject,Review
Robert Webber ,Computer Science,"What on earth is he talking about!? It's impossible to figure out what's going on in this class about 90% of the time. Don't have a real textbook OR online notes. He wants to be helpful, but can't communicate. Most stressful course I've ever taken."
Robert Webber ,Computer Science,"Good prof. Nice guy, always has interesting anecdotes. Assignments were fun and relatively easy once you got the idea."
Robert Webber ,Computer Science,"I got over 90% in his course. It's hard and he's not the greatest at conveying information. However, he is a very nice guy if you actually go to his office and talk to him, and he is willing to help you."
Robert Webber ,Computer Science,It's too bad he's too paranoid to use the web.
Robert Webber ,Computer Science,"Worst professor in entire department, please someone sack this wack job! "
Robert Webber ,Computer Science,"Predicted that the internet would come to a stop because of insecurities in PDF files... Wrote a terribly buggy, slow unbelievable mess of an application for emulating hardware, forced class to use it for every assignment. Avoid this guy like Black Death."
Robert Webber ,Computer Science,"I can't think of enough bad things to say about this retard. And his course, while having assignments, were not required to be handed in until the last day."
Robert Webber ,Computer Science,"Horrible professor. is there any word worse than horrible? Rediculous amount of workload, hard exam, meaningless lecture."
Robert Webber ,Computer Science,Unbelieveable. Docked my final mark 3% for putting my name in the wrong place on a test.
Robert Webber ,Computer Science,He just seems unintrested in his topic and his evaluation methods leave much to be desired. Thus regardless of functionality no matter what there were always people failing assignments.
Kimberly Taylor (4.6),Computer Science,"I loved her! This class isn't the easiest, but she's always willing to help. Tests are in class and proctored by her. You have homework every week. She is a really good teacher though, so if you study, you shouldn't have too many problems!"
Kimberly Taylor ,Computer Science,"I have taken her for 3 courses and she is always there to help. Very understanding lectures and always glad to work it with you till you understand it. DONT wait to do programs, start when she gives them to you and go to her for help."
Kimberly Taylor ,Computer Science,She is a great person and a pretty good teacher. She'll help you if you ask. You'll have to study but it's manageable. You have projects due every week and she will help you with them if you ask.
Kimberly Taylor ,Computer Science,She was funny and made the class fun. She was very easy to understand and very helpful. She made me feel like computer science was a good choice for me!
Kimberly Taylor ,Computer Science,Super easy working with her but very time consuming. Super easy class.
Kimberly Taylor ,Computer Science,She is very helpful
Kimberly Taylor ,Computer Science,"She's helpful. You just need to pay attention to the class and use the book to study. If you don't, well, you'll probably won't do well in the class. It's a class that you must put in an effort. She'll help but you need to meet her half way. Not happy but I'll take her again."
Kimberly Taylor ,Computer Science,"She's very helpful, if you go ASK for help. I don't think she's a great teacher but, she's probably the easy going teacher. If you wanna do great for a class, read the book, go over the assignments, and understand what each line of code does. If you do struggle, go to tutoring as much as possible if you can."
Kimberly Taylor ,Computer Science,"She is great! Very helpful and fun in class. Use book a lot and will help you with programs. Tests are easy if your on top of your game. Need to go to class to understand, she explains way better than the book. Gives a quiz or program to do almost every day but you do them in class and she helps. Homework is easy if you pay attention in class."
Kimberly Taylor ,Computer Science,"Love her! Eager to help if you have questions. Most test questions come from the questions in the back of the chapter. Do the homework, go to class, and you'll do fine."
Kimberly Taylor ,Computer Science,She is so nice and very helpful! This class is pretty easy. Tests are really easy and program assignments are not too bad.
Kimberly Taylor ,Computer Science,"She is very helpful and nice. If you have any problems with your program, she will definitely help you. Her tests are straightforward, just study old programs and the book. The class isn't super easy, but its not hard either if you do your work."
Kimberly Taylor ,Computer Science,VERY EASY!!! She goes over the exact stuff the HW tells you to do. all HW is on test. Just do the reviews before the test and you will be prepared.
Kimberly Taylor ,Computer Science,She is excellent. She is very easy and really helps you out a lot. If you need to take this class I STRONGLY SUGGEST you take her. This is an easy A. All you have to do is your work. And most of it is done in class. Nothing hard about her class.
Kimberly Taylor ,Computer Science,She has the best understanding of all the concepts and great examples. She makes her examples simple to understand and uses them for labs and tests.
Kimberly Taylor ,Computer Science,One of the best prof I have ever had.
Kimberly Taylor ,Computer Science,"Awesome. Really enthusiastic and is fair to everyone. Also, she is really clear with her examples and notes. Good prof!"
Kimberly Taylor ,Computer Science,An extremely good prof. Explains everything and I mean everything in easy-to-follow clear steps. One of the best profs I ever had.
Kimberly Taylor ,Computer Science,"Very generous and kind in nature. Her notes are very important for tests and exams. She rarely uses the book, but do the exercises she gives. Extremely helpful and linient in marking."
Kimberly Taylor ,Computer Science,One of the best profs I ever had. She knows his stuff inside out. Very helpful and respectful with students. Also she's cute and humble too
